Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
HOU,2319,6291,221,863,834,53,9.00%,19.40%,0.177,0.303,0.267,0.339,0.444,0.336,,116,-6.2,117.6,7,33.9
TOR,2383,6070,262,846,816,81,8.20%,20.10%,0.2,0.296,0.266,0.33,0.466,0.34,,113,2.8,95.3,2.6,30.5
SFG,2597,6196,241,804,768,66,9.70%,23.60%,0.191,0.295,0.249,0.329,0.44,0.329,,108,-6.4,55.1,39.6,30
TBR,2389,6213,222,857,810,88,9.40%,24.80%,0.186,0.294,0.243,0.321,0.429,0.322,,109,11.2,82.7,5.4,30
LAD,2459,6239,237,830,799,65,9.80%,22.60%,0.185,0.284,0.244,0.33,0.429,0.327,,106,9.3,54.9,33.7,29.5
CHW,2292,6084,190,796,757,57,9.60%,22.80%,0.166,0.31,0.256,0.336,0.422,0.329,,109,-0.9,68.4,-22.7,25.3
STL,2384,6001,198,706,678,89,8.00%,22.30%,0.168,0.287,0.244,0.313,0.412,0.312,,97,11.7,-11,60.5,24.8
BOS,2353,6122,219,829,783,40,8.40%,22.60%,0.188,0.309,0.261,0.328,0.449,0.333,,107,-4.4,45.3,-22,23.2
OAK,2353,6104,199,743,698,88,8.90%,22.10%,0.168,0.278,0.238,0.317,0.406,0.313,,102,11.8,23.9,-3.5,22.8
MIL,2403,6099,194,738,700,82,9.60%,24.00%,0.163,0.283,0.233,0.317,0.396,0.31,,91,8.5,-61,81.2,22.2
ATL,2392,6056,239,790,762,59,9.10%,24.00%,0.191,0.288,0.244,0.319,0.435,0.323,,98,5.4,-8.2,28.8,22.1
CIN,2472,6162,222,786,756,36,9.00%,23.10%,0.182,0.296,0.249,0.328,0.431,0.327,,98,-15.1,-28.7,21,19.6
WSN,2386,6113,182,724,686,56,9.40%,21.30%,0.159,0.307,0.258,0.337,0.417,0.326,,101,-25.4,-19.3,9.5,19.2
SDP,2497,6119,180,729,695,110,9.60%,21.60%,0.159,0.287,0.242,0.321,0.401,0.312,,97,0.7,-20.2,5.1,18.7
PHI,2394,6089,198,734,700,77,9.30%,23.00%,0.168,0.286,0.24,0.318,0.408,0.313,,93,7.8,-47.6,32.6,18.6
NYY,2354,6060,222,711,666,63,10.20%,24.50%,0.169,0.285,0.237,0.322,0.407,0.317,,101,-15.1,-6.2,-17.9,18.2
NYM,2419,5856,176,636,604,54,8.50%,23.80%,0.152,0.291,0.239,0.315,0.391,0.307,,96,-13.5,-40.8,28.8,18.2
MIN,2356,6078,228,729,690,54,8.60%,23.10%,0.182,0.282,0.241,0.314,0.423,0.318,,101,-3.1,2.3,-35.2,17.4
CLE,2300,5907,203,717,686,109,7.70%,23.50%,0.169,0.282,0.238,0.303,0.407,0.306,,93,7.4,-43.6,1,15.8
CHC,2475,5972,210,705,672,86,8.40%,26.70%,0.171,0.296,0.237,0.312,0.407,0.311,,92,-8.6,-71.6,27,15.3
COL,2344,6007,182,739,709,76,8.20%,22.60%,0.165,0.299,0.249,0.317,0.414,0.315,,82,12.4,-125.4,77.6,15.1
KCR,2368,5993,163,686,647,124,7.00%,21.00%,0.147,0.292,0.249,0.306,0.396,0.304,,89,13.2,-64.7,-6.1,13.3
LAA,2325,6016,190,723,691,79,7.70%,23.20%,0.162,0.294,0.245,0.31,0.407,0.308,,94,6.8,-35.2,-38.1,13.1
TEX,2252,5943,167,625,598,106,7.30%,23.20%,0.143,0.28,0.232,0.294,0.375,0.291,,84,-1.8,-118,37.5,12.1
MIA,2436,5928,158,623,594,106,7.60%,26.20%,0.139,0.296,0.233,0.298,0.372,0.291,,84,0.4,-119,37.9,11.5
SEA,2360,6010,199,697,673,64,8.90%,24.80%,0.159,0.273,0.226,0.303,0.385,0.3,,93,-7.1,-55.8,-33.7,11.5
ARI,2449,6144,144,679,644,43,8.70%,23.80%,0.146,0.295,0.236,0.309,0.382,0.301,,84,6.6,-117.4,24.8,11
PIT,2393,5983,124,609,570,60,8.80%,22.20%,0.128,0.29,0.236,0.309,0.364,0.294,,83,-3.9,-135.5,29.1,9.1
BAL,2376,5983,195,659,632,54,7.50%,24.30%,0.163,0.29,0.239,0.304,0.402,0.305,,91,-6.2,-75.2,-38.7,8.9
DET,2341,5979,179,697,675,88,8.20%,25.30%,0.158,0.3,0.242,0.308,0.399,0.306,,93,1.2,-53,-60.8,8.9
