"Team","W","L","W-L%","GB","RS","RA","pythW-L%","Division"
"TBR",100,62,0.617,"--",857,651,0.623,"AL East"
"NYY",92,70,0.568,"8.0",711,669,0.528,"AL East"
"BOS",92,70,0.568,"8.0",829,749,0.546,"AL East"
"TOR",91,71,0.562,"9.0",846,663,0.61,"AL East"
"BAL",52,110,0.321,"48.0",659,956,0.336,"AL East"
"CHW",93,69,0.574,"--",796,636,0.601,"AL Cent"
"CLE",80,82,0.494,"13.0",717,727,0.494,"AL Cent"
"DET",77,85,0.475,"16.0",697,756,0.463,"AL Cent"
"KCR",74,88,0.457,"19.0",686,788,0.437,"AL Cent"
"MIN",73,89,0.451,"20.0",729,834,0.439,"AL Cent"
"HOU",95,67,0.586,"--",863,658,0.622,"AL West"
"SEA",90,72,0.556,"5.0",697,748,0.468,"AL West"
"OAK",86,76,0.531,"9.0",743,687,0.536,"AL West"
"LAA",77,85,0.475,"18.0",723,804,0.452,"AL West"
"TEX",60,102,0.37,"35.0",625,815,0.381,"AL West"
"ATL",88,73,0.547,"--",790,656,0.584,"NL East"
"PHI",82,80,0.506,"6.5",734,745,0.493,"NL East"
"NYM",77,85,0.475,"11.5",636,668,0.478,"NL East"
"MIA",67,95,0.414,"21.5",623,701,0.446,"NL East"
"WSN",65,97,0.401,"23.5",724,820,0.443,"NL East"
"MIL",95,67,0.586,"--",738,623,0.577,"NL Cent"
"STL",90,72,0.556,"5.0",706,672,0.523,"NL Cent"
"CIN",83,79,0.512,"12.0",786,760,0.515,"NL Cent"
"CHC",71,91,0.438,"24.0",705,839,0.421,"NL Cent"
"PIT",61,101,0.377,"34.0",609,833,0.361,"NL Cent"
"SFG",107,55,0.66,"--",804,594,0.635,"NL West"
"LAD",106,56,0.654,"1.0",830,561,0.672,"NL West"
"SDP",79,83,0.488,"28.0",729,708,0.513,"NL West"
"COL",74,87,0.46,"32.5",739,796,0.466,"NL West"
"ARI",52,110,0.321,"55.0",679,893,0.377,"NL West"
