away_team,home_team
Nathan Eovaldi,Jose Urena
Alex Verdugo,Corey Dickerson
Rafael Devers,Starling Marte
Xander Bogaerts,Jesus Aguilar
J.D. Martinez,Matt Joyce
Kevin Plawecki,Brian Anderson
Jackie Bradley Jr.,Garrett Cooper
Yairo Munoz,Miguel Rojas
Bobby Dalbec,Jasrado Chisholm
Christian Arroyo,Chad Wallach
Kenta Maeda,Reynaldo Lopez
Max Kepler,Tim Anderson
Josh Donaldson,Yasmani Grandal
Jorge Polanco,Jose Abreu
Nelson Cruz,Eloy Jimenez
Eddie Rosario,Edwin Encarnacion
Miguel Sano,Yoan Moncada
Byron Buxton,Luis Robert
Marwin Gonzalez,Jarrod Dyson
Ryan Jeffers,Nick Madrigal
Alex Young,Griffin Canning
Daulton Varsho,David Fletcher
Josh VanMeter,Jared Walsh
Christian Walker,Mike Trout
Kole Calhoun,Anthony Rendon
Eduardo Escobar,Albert Pujols
David Peralta,Justin Upton
Nick Ahmed,Taylor Ward
Pavin Smith,Anthony Bemboom
Carson Kelly,Andrelton Simmons
Tyler Anderson,Nick Margevicius
Austin Slater,J.P. Crawford
Donovan Solano,Dylan Moore
Mike Yastrzemski,Kyle Lewis
Wilmer Flores,Kyle Seager
Darin Ruf,Ty France
Evan Longoria,Luis Torrens
Brandon Crawford,Tim Lopes
Joey Bart,Evan White
Mauricio Dubon,Phillip Ervin
Blake Snell,Dean Kremer
,Hanser Alberto
Brandon Lowe,Jose Iglesias
Willy Adames,Ryan Mountcastle
Nathaniel Lowe,Pedro Severino
Austin Meadows,Renato Nunez
Joey Wendle,D.J. Stewart
Kevin Kiermaier,Austin Hays
Brett Phillips,Pat Valaika
Michael Perez,Andrew Velazquez
Dakota Hudson,Steven Brault
Tommy Edman,Adam Frazier
Paul DeJong,Ke'Bryan Hayes
Paul Goldschmidt,Colin Moran
Tyler O'Neill,Josh Bell
Yadier Molina,Erik Gonzalez
Brad Miller,Bryan Reynolds
Harrison Bader,Gregory Polanco
Rangel Ravelo,Kevin Newman
Kolten Wong,Jacob Stallings
Seth Lugo,Aaron Nola
Brandon Nimmo,Andrew McCutchen
Michael Conforto,Bryce Harper
J.D. Davis,Alec Bohm
Dominic Smith,Didi Gregorius
Robinson Cano,Jean Segura
Peter Alonso,Andrew Knapp
Jeff McNeil,Adam Haseley
Andres Gimenez,Phil Gosselin
Robinson Chirinos,Mickey Moniak
Julian Merryweather,Masahiro Tanaka
Cavan Biggio,DJ LeMahieu
Bo Bichette,Luke Voit
Randal Grichuk,Aaron Hicks
Teoscar Hernandez,Giancarlo Stanton
Vladimir Guerrero Jr.,Gleyber Torres
Travis Shaw,Giovanny Urshela
Lourdes Gurriel Jr.,Clint Frazier
Joe Panik,Gary Sanchez
Danny Jansen,Brett Gardner
Shane Bieber,Casey Mize
Francisco Lindor,Victor Reyes
Cesar Hernandez,Willi Castro
Jose Ramirez,Miguel Cabrera
Carlos Santana,Jeimer Candelario
Franmil Reyes,Niko Goodrum
Tyler Naquin,Jorge Bonifacio
Roberto Perez,Austin Romine
Josh Naylor,Isaac Paredes
Oscar Mercado,Daz Cameron
Jordan Lyles,Framber Valdez
Leody Taveras,George Springer
Isiah Kiner-Falefa,Jose Altuve
Nick Solak,Michael Brantley
Joey Gallo,Alex Bregman
Rougned Odor,Kyle Tucker
Sherten Apostel,Yuli Gurriel
Anderson Tejeda,Carlos Correa
Eli White,Josh Reddick
Jeff Mathis,Martin Maldonado
Bruce Zimmermann,Trevor Richards
Cedric Mullins,Randy Arozarena
D.J. Stewart,Hunter Renfroe
Ryan Mountcastle,Brandon Lowe
Pedro Severino,Michael Brosseau
Chance Sisco,Willy Adames
Hanser Alberto,Nathaniel Lowe
Rio Ruiz,Manuel Margot
Austin Hays,Kevan Smith
Pat Valaika,Joey Wendle
Julio Urias,Kyle Freeland
Mookie Betts,Raimel Tapia
Corey Seager,Trevor Story
Justin Turner,Charlie Blackmon
Max Muncy,Nolan Arenado
Will Smith,Kevin Pillar
Cody Bellinger,Matt Kemp
Chris Taylor,Josh Fuentes
Enrique Hernandez,Garrett Hampson
Edwin Rios,Tony Wolters
