Team,W,L,SV,G,GS,IP,games,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,total ER,xERA,FIP,xFIP,WAR
TBR,58,32,42,531,0,703,78.11111111,9.46,2.82,1,0.278,74.60%,41.50%,10.70%,93.7,3.24,253.08,,3.59,3.98,7.9
CHW,32,29,43,512,0,548,60.88888889,10.58,3.45,1.15,0.298,72.70%,42.40%,12.90%,96,3.97,241.7288889,,3.75,3.83,7.8
NYY,48,30,47,512,0,606,67.33333333,10.02,3.36,1.08,0.282,72.70%,46.50%,13.40%,95.5,3.56,239.7066667,,3.76,3.78,7.5
SEA,45,27,51,584,0,618.2,68.68888889,9.06,3.13,0.93,0.286,69.40%,42.40%,10.10%,93.7,3.88,266.5128889,,3.72,4.18,7
LAA,37,29,39,562,0,645.1,71.67777778,9.25,4.04,1.07,0.305,69.60%,45.50%,12.10%,92.9,4.59,329.001,,4.19,4.38,4.7
BOS,42,23,49,563,0,607,67.44444444,10.01,4.23,1.04,0.311,72.70%,46.10%,12.20%,94.9,3.99,269.1033333,,4.06,4.23,4.6
KCR,33,25,37,556,0,621,69,8.93,3.99,1.09,0.282,71.40%,41.80%,11.40%,94.9,4.22,291.18,,4.2,4.5,3.6
HOU,32,31,34,512,0,563.1,62.56666667,9.92,4.01,1.18,0.286,72.40%,42.50%,13.70%,94.4,4.06,254.0206667,,4.21,4.19,3.6
CLE,32,30,39,535,0,588,65.33333333,9.83,3.73,1.18,0.289,77.20%,44.90%,14.50%,95.4,3.64,237.8133333,,4.06,3.96,3.2
BAL,28,34,26,569,0,666.2,74.02222222,8.6,4,1.47,0.3,65.20%,42.00%,14.20%,93.5,5.7,421.9266667,,4.87,4.76,2.5
TEX,27,31,31,507,0,625.2,69.46666667,8.49,3.58,1.12,0.287,71.00%,43.80%,11.90%,94.1,4.13,286.8973333,,4.2,4.43,2.4
MIN,34,31,42,529,0,623.2,69.24444444,9.12,3.58,1.33,0.287,70.30%,42.90%,14.40%,93,4.39,303.9831111,,4.38,4.27,2.4
DET,42,28,42,577,0,638.1,70.9,8.92,4.4,1.17,0.303,71.70%,42.80%,12.40%,94.5,4.5,319.05,,4.53,4.69,2.1
TOR,30,31,34,536,0,569,63.22222222,9.41,3.72,1.3,0.277,73.40%,45.20%,14.80%,94.3,4.08,257.9466667,,4.38,4.22,1.6
OAK,29,24,39,504,0,539,59.88888889,7.85,3.19,1.22,0.277,71.60%,39.60%,11.50%,92.9,4.21,252.1322222,,4.37,4.69,1.2
,,,,,,9160.1,,,,,,,,,,,4224.082778,,,,
,,,,,runs / inn,0.461139374,,,,,,,,,,,,,,,
